,LDA_PC1,LDA_PC2,LDA_PC3,player_fifa_api_id,player_positions,player_positions_general
1120,-1.185085351301418,-3.2896184302299307,-2.1376277068307887,147899,CB,DEF
1121,23.99394997963896,-0.19921490560383912,0.36642179733333347,192613,GK,GK
1122,-2.1131919505445755,0.4273481458817643,1.7010928099632427,159080,CM,MID
1123,-2.6116195177367114,-2.761993740814358,-0.3895820456774652,180706,"CB, RB",DEF
1124,-0.8676567105374733,0.767024144925372,1.3277594439784661,139609,"LM, LW, RM",MID
1125,-1.2006011175152085,1.9487159755705061,-0.3065500838789573,179831,ST,ATK
1126,-4.028826825314193,-2.1511609469455233,-1.4225180279858165,194806,"RB, CB",DEF
1127,-2.040761128830806,0.26094150451181314,1.4923632142255165,178487,"CM, CDM, RB",DEF
1128,23.2480546993538,0.34316981694787074,0.31110164765792636,53110,GK,GK
1129,-1.8163248231371616,0.5746463222590202,-0.012729671966145495,189885,"LM, RM",MID
1130,-1.5213232162578851,-2.782708899179817,-1.394289363412619,213478,"RB, CB, RM",MID
1131,18.80027894476043,0.4830629153877882,0.3645049977342584,155877,GK,GK
1132,-2.1852359044587906,0.16235544092724738,2.182996578257989,212515,CDM,MID
1133,-1.9896106270136684,0.7914285728490027,0.9960160119634954,214651,CM,MID
1134,-1.2130666138838486,-0.17697102691565902,1.4009816080649906,212277,"RM, CM",MID
1135,-1.9463628336183225,2.0410865491697026,-0.3958261537746497,224865,"ST, LM",MID
1136,-1.2619658314407298,2.0273025837851604,-2.321117310107889,224126,ST,ATK
1137,-1.5422330871790002,2.9768562546757087,-0.9038188250729968,228964,"ST, RW",ATK
1138,-2.0572096081375797,0.16593279158595017,1.3634292058252564,202827,"CM, LM, CDM",MID
1139,-2.0049827506759494,1.2768457955961894,0.1308770087781122,210112,RM,MID
1140,-2.776972705405394,1.97163889657589,-0.7830713640311898,205353,"LW, RW",ATK
1141,-2.3835651362049433,-1.1291599299167554,-0.018297858836995275,219605,"LM, LW, LB",DEF
1142,-2.1563761674035273,-1.9496942900308327,-0.10607032613834853,173306,LB,DEF
1143,-2.182771127648284,-1.3696876971405803,-0.0495041190763301,198553,RB,DEF
1144,-1.4006190004745076,1.5833512514007626,-1.7225848267351123,204280,"ST, CF",ATK
1145,-1.4227038161321108,0.982363072044729,0.5505668928189075,167423,"LM, ST",ATK
1146,-1.5880127286249077,1.8404816894889027,0.9266223108346755,187644,CAM,MID
1147,-2.3867587303497686,-1.980802617079954,-0.4230548575841662,149064,"LWB, LM",MID
1148,-3.6940974380073484,2.350041888282701,-0.15062165008262945,189437,"LW, CF, CAM",MID
1149,-2.0056130795842817,1.2113748837145701,2.201734342404177,205070,"CM, CDM, CAM",MID
1150,-2.026055795689157,-1.8780660026119573,0.02744272166654435,137151,"RM, RB",DEF
1151,-1.7125980709488835,1.02303026604248,0.647046660305813,170664,LM,MID
1152,-2.1655245252198294,2.1009979966138372,-0.9647890497344963,186537,"ST, RM, CAM",MID
1153,-1.8187696561392737,-2.734485121148009,-1.0997011831997414,213846,"CB, LB, RB",DEF
1154,-1.810308030999408,2.2200431777344996,-0.16585127489768686,200315,"RW, LW",ATK
1155,-4.0641225260767655,-3.1328036207914516,-1.6567965148773616,49617,"CB, RB",DEF
1156,-4.521972674787818,-4.186516730908859,-2.2237515112339397,177983,CB,DEF
1157,-2.561450110006353,-2.117474915053418,-0.16817312815953953,201389,"LB, LM",MID
